date,EPU_MEX,IP_MEX,INF_YoY_MEX,GDP_MEX,2YS_MEX,1OYS_MEX,EXR_MEX,UNEMP_MEX,GDPC_MEX,IM_MEX,EX_MEX,RECESS_MEX,INF_MEX
2016-08-01,,99.9194628081426,,,4.76,6.01,,3.726339,,,,0.0,2.727
2016-09-01,,99.9458369360382,,,4.87,5.99,,3.849977,,,,0.0,2.9690000000000003
2016-10-01,0.4893326,100.242330775524,,5889.1845,5.23,6.09,,3.5774760000000003,,2267948.5,2228542.5,0.0,3.064
2016-11-01,,101.344890321986,,,5.31,,,3.629579,,,,0.0,3.305
2016-12-01,,101.035929255803,,,6.21,7.25,,3.699569,,,,0.0,3.36
2017-01-01,0.2792516,101.738382861305,6.04145724018986,5922.0645,6.68,7.6,,3.458761,10193.7727193457,2343670.75,2255900.5,0.0,4.718
2017-02-01,,101.393586944005,,,6.94,,,3.415578,,,,0.0,4.864
2017-03-01,,102.044946424819,,,6.92,7.4,,3.519403,,,,0.0,5.353
2017-04-01,0.5153673,100.754442647934,,5930.8395,6.99,7.24,,3.555912,,2344133.75,2177442.5,0.0,5.817
2017-05-01,,101.048046811391,,,7.25,7.32,,3.612685,,,,0.0,6.164
2017-06-01,,101.055637480534,,,7.2,,,3.2815449999999995,,,,0.0,6.314
2017-07-01,0.5849532,100.321323546941,,5894.4945,7.25,6.88,,3.216046,,2351487.0,2147493.25,0.0,6.438000000000001
2017-08-01,,100.863768463916,,,7.22,6.89,,3.270371,,,,0.0,6.662999999999999
2017-09-01,,99.5125511445864,,,7.2,6.79,,3.341828,,,,0.0,6.348
2017-10-01,0.6377921,100.760245921465,,5977.1725,7.18,,,3.4312940000000003,,2394972.25,2281945.5,0.0,6.372
2017-11-01,,101.114424249059,,,7.29,7.19,,3.508106,,,,0.0,6.635000000000001
2017-12-01,,101.809460386185,,,7.33,7.53,,3.413893,,,,0.0,6.773
2018-01-01,0.4096262,100.880784420576,4.89935015356551,6052.9745,7.8,,,3.202943,10296.8690937052,2484535.5,2323448.25,0.0,5.546
2018-02-01,,101.371096938906,,,7.7,7.64,,3.174959,,,,0.0,5.339
